signal_group,signal_id,security_key,issuer_name,cusip,report_period,signal_date,trade_date,signal_type,selected_symbol,selected_exchange,prev_shares,curr_shares,delta_shares,include_flag,exclusion_reason,trade_date_close,trade_date_mark_close,rationale_text
initial_seed,holding:000156761919003482:1,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,2018-12-31,2019-02-13,2019-02-19,initial_seed,TSLA,NASDAQ,,8277080,,1,,305.63999,20.37600,Seed the strategy from the first publicly visible PIF common-equity sleeve.
transition,transition:000156761919015831:2,90353T100|COM||SH|UBER TECHNOLOGIES INC,UBER TECHNOLOGIES INC,90353T100,2019-06-30,2019-08-06,2019-08-09,entry_observed,UBER,NYSE,0,72840541,72840541.000000,1,,40.049999,40.049999,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920002012:1,88160R101|COM||SH|TESLA INC,TESLA INC,88160R101,2019-12-31,2020-02-04,2020-02-07,likely_reduction,TSLA,NASDAQ,8277080,39151,-8237929.000000,1,,748.070011,49.87133,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:1,053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,2020-03-31,2020-05-15,2020-05-20,entry_observed,ADP,US,0,574000,574000.000000,1,,134.78000,116.92044,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:3,084670702|CL B NEW||SH|BERKSHIRE HATHAWAY INC DEL,BERKSHIRE HATHAWAY INC DEL,084670702,2020-03-31,2020-05-15,2020-05-20,entry_observed,BRK.B,NYSE,0,429000,429000.000000,1,,176.020004,176.020004,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:2,060505104|COM||SH|BK OF AMERICA CORP,BK OF AMERICA CORP,060505104,2020-03-31,2020-05-15,2020-05-20,entry_observed,BAC,US,0,22966034,22966034.000000,1,,22.91000,19.80576,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:4,097023105|COM||SH|BOEING CO,BOEING CO,097023105,2020-03-31,2020-05-15,2020-05-20,entry_observed,BA,NYSE,0,4785281,4785281.000000,1,,133.32001,133.32001,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:5,09857L108|COM||SH|BOOKING HLDGS INC,BOOKING HLDGS INC,09857L108,2020-03-31,2020-05-15,2020-05-20,entry_observed,BKNG,NASDAQ,0,58000,58000.000000,1,,1599.14999,40.76525,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:6,055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,2020-03-31,2020-05-15,2020-05-20,entry_observed,BP,NYSE,0,33938127,33938127.000000,1,,23.62000,17.43360,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:7,11135F101|COM||SH|BROADCOM INC,BROADCOM INC,11135F101,2020-03-31,2020-05-15,2020-05-20,entry_observed,AVGO,NASDAQ,0,323000,323000.000000,1,,278.68000,24.33825,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:8,136385101|COM||SH|CANADIAN NAT RES LTD,CANADIAN NAT RES LTD,136385101,2020-03-31,2020-05-15,2020-05-20,entry_observed,CNQ,US,0,30120239,30120239.000000,1,,9.30000,5.61249,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:9,143658300|UNIT 99/99/9999||SH|CARNIVAL CORP,CARNIVAL CORP,143658300,2020-03-31,2020-05-15,2020-05-20,entry_observed,CCL,NYSE,0,34689148,34689148.000000,1,,14.15000,13.99996,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:10,17275R102|COM||SH|CISCO SYS INC,CISCO SYS INC,17275R102,2020-03-31,2020-05-15,2020-05-20,entry_observed,CSCO,NASDAQ,0,12487436,12487436.000000,1,,45.44000,38.16999,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:11,172967424|COM NEW||SH|CITIGROUP INC,CITIGROUP INC,172967424,2020-03-31,2020-05-15,2020-05-20,entry_observed,C,NYSE,0,12392668,12392668.000000,1,,45.47000,36.89669,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:12,254687106|COM DISNEY||SH|DISNEY WALT CO,DISNEY WALT CO,254687106,2020-03-31,2020-05-15,2020-05-20,entry_observed,DIS,US,0,5132522,5132522.000000,1,,119.92000,117.083282,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
transition,transition:000156761920010560:13,30303M102|CL A||SH|FACEBOOK INC,FACEBOOK INC,30303M102,2020-03-31,2020-05-15,2020-05-20,entry_observed,META,US,0,3128653,3128653.000000,1,,229.97000,228.18654,Copy only the disclosed trade direction and keep residual cash rather than forcing full reinvestment.
